epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,42.1435,1.45062,0.9225,0.9955,0.2435,0.0099763,0.00332543,0.0099763,0.00332543,0.0099763,0.00332543,0.0099763,0.00332543
2,84.0748,0.50787,0.95283,0.99833,0.16123,0.0193171,0.00643903,0.0193171,0.00643903,0.0193171,0.00643903,0.0193171,0.00643903
3,126.852,0.43396,0.94033,0.99867,0.18614,0.0279979,0.00933262,0.0279979,0.00933262,0.0279979,0.00933262,0.0279979,0.00933262
4,170.617,0.39158,0.96167,0.999,0.13475,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,213.792,0.31846,0.96917,0.999,0.10069,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,256.201,0.28561,0.97483,0.99883,0.09718,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,298.68,0.28767,0.97417,0.99983,0.08829,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,341.473,0.25036,0.979,0.9995,0.07179,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,382.874,0.23405,0.98033,0.99983,0.06901,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,424.778,0.21353,0.97917,0.99967,0.06436,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,467.699,0.20992,0.981,0.99967,0.06368,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,509.709,0.20409,0.983,0.99967,0.05906,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,553.828,0.19729,0.98133,0.99967,0.05926,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,596.146,0.18574,0.983,0.99983,0.05492,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,638.845,0.18625,0.98467,0.99983,0.05047,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,681.331,0.17905,0.98367,0.99967,0.05834,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,724.163,0.17244,0.98567,0.99983,0.04703,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,766.506,0.1693,0.98633,0.99983,0.04528,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
19,808.34,0.16413,0.989,0.99967,0.04079,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
20,849.744,0.15689,0.98883,0.99967,0.04038,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
21,891.951,0.15324,0.98667,1,0.04221,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
22,934.02,0.15212,0.988,0.99967,0.04309,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
23,975.968,0.14097,0.98867,0.99983,0.03727,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
24,1018.18,0.14232,0.98917,0.99983,0.03729,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241,0.00723,0.00241
25,1060.83,0.13475,0.98917,0.99983,0.03643,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
26,1104.24,0.12944,0.98733,0.99967,0.0375,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175,0.00525,0.00175
27,1152.19,0.12255,0.98767,0.99967,0.03735,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142,0.00426,0.00142
28,1199.19,0.11872,0.9875,0.99983,0.0373,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
29,1241.08,0.11948,0.9885,1,0.03637,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076,0.00228,0.00076
30,1282.91,0.10884,0.98833,1,0.03544,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043,0.00129,0.00043
