epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,42.7423,1.40071,0.91717,0.9955,0.25395,0.0099763,0.00332543,0.0099763,0.00332543,0.0099763,0.00332543,0.0099763,0.00332543
2,84.6094,0.50985,0.9525,0.9985,0.14338,0.0193171,0.00643903,0.0193171,0.00643903,0.0193171,0.00643903,0.0193171,0.00643903
3,126.03,0.43502,0.94667,0.99817,0.20042,0.0279979,0.00933262,0.0279979,0.00933262,0.0279979,0.00933262,0.0279979,0.00933262
4,167.169,0.39374,0.97117,0.99933,0.09197,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
5,208.7,0.29712,0.971,0.99933,0.09523,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
6,249.87,0.27364,0.97433,0.999,0.09261,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
7,291,0.25853,0.9785,0.99933,0.07616,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
8,332.128,0.23843,0.98,0.9995,0.06557,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
9,373.161,0.22759,0.9825,0.99983,0.05879,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
10,414.672,0.21506,0.9795,0.99967,0.07085,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
11,457.588,0.21174,0.9815,0.99967,0.06065,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
12,499.38,0.20661,0.9805,0.99967,0.06707,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
13,540.835,0.20005,0.98233,0.99967,0.05964,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
14,582.246,0.18785,0.9835,0.99983,0.05057,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
15,623.665,0.18453,0.985,1,0.05111,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
16,664.998,0.1772,0.98317,0.99967,0.05662,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
17,706.267,0.17125,0.98617,0.99983,0.04567,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
18,747.442,0.17122,0.9865,0.99983,0.04657,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
