PassengerId,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,0,3,female,21.9,0,1,9.691,C
2,0,3,male,49.1,0,0,10.7057,S
3,0,3,male,34.9,0,0,10.0388,S
4,0,3,female,41.4,0,5,30.4039,S
5,0,3,female,21.9,0,0,12.3529,S
6,1,2,female,25.2,0,0,19.1553,S
7,0,3,male,27.9,1,2,18.7548,S
8,0,3,male,27.4,0,0,7.1783,S
9,1,2,female,3.4,1,1,29.125,S
10,0,3,male,27.3,0,0,11.0761,S
11,1,3,male,28.6,0,0,18.7432,S
12,0,3,female,28.4,3,1,31.2988,S
13,1,1,male,7.4,1,2,168.4021,S
14,1,1,male,76.9,0,0,34.7144,S
15,0,3,male,28.8,0,0,10.7027,C
16,1,1,female,16.6,1,2,120.2193,S
17,1,1,female,27.2,1,2,167.6989,S
18,0,3,female,10.0,1,1,16.9783,S
19,0,3,female,24.7,0,0,5.5567,Q
20,1,1,female,54.1,0,0,32.0178,C
21,1,3,female,26.5,1,0,7.9604,S
22,1,3,female,21.7,0,0,9.6033,S
23,0,3,male,16.8,1,1,16.0611,S
24,0,2,male,21.4,0,0,13.7173,S
25,0,3,male,15.1,2,0,21.076,S
26,0,3,male,20.9,0,0,10.5063,S
27,0,3,male,30.2,0,0,9.5467,S
28,0,1,male,44.5,0,0,44.4349,S
29,0,3,female,31.1,1,0,14.0264,C
30,1,3,female,26.0,0,0,8.068,Q
31,0,3,male,16.6,2,0,15.1397,S
32,0,3,male,27.7,0,0,7.2946,S
33,0,2,male,41.5,0,0,17.2318,S
34,0,3,male,28.9,0,0,7.9061,S
35,0,3,female,29.4,0,2,8.1167,Q
36,1,1,female,20.9,0,2,33.5062,S
37,1,3,female,2.7,1,1,16.8255,S
38,1,3,male,26.9,0,0,19.8904,S
39,0,3,male,22.8,0,0,15.6285,S
40,0,3,male,26.9,0,0,18.6223,S
41,0,3,male,42.7,0,0,10.0861,S
42,0,1,male,55.7,0,1,92.6024,S
43,1,3,female,23.0,0,0,6.348,Q
44,1,2,female,36.0,1,0,29.1563,S
45,0,1,male,34.4,1,2,130.459,S
46,1,2,female,43.2,0,0,12.8854,S
47,1,3,male,26.6,0,0,19.352,S
48,0,3,male,29.0,0,0,6.3427,S
49,0,1,male,28.0,0,0,30.7983,C
50,1,1,male,22.2,1,0,91.3199,C
51,1,1,male,36.7,0,1,512.3292,C
52,1,2,female,34.6,0,0,12.9544,S
53,1,3,female,22.7,1,0,7.4177,S
54,1,3,male,28.1,0,0,15.169,S
55,0,2,male,48.6,0,0,15.2881,S
56,0,3,male,28.2,0,0,9.9906,C
57,1,3,female,26.7,0,1,11.9694,S
58,1,2,female,4.4,1,1,26.8792,S
59,0,3,male,28.1,0,0,7.6193,S
60,0,3,female,30.4,3,1,31.8863,S
61,0,3,female,21.7,0,0,5.155,Q
62,1,2,female,17.4,1,0,26.8949,C
63,0,3,female,3.1,3,2,29.6089,S
64,0,3,female,30.2,1,1,17.5528,S
65,0,2,male,30.6,0,0,13.0157,S
66,0,3,male,35.8,0,0,11.9215,C
67,0,2,male,31.4,0,0,8.6795,S
68,1,1,female,45.9,0,0,34.8563,C
69,1,3,female,24.9,0,0,6.9501,S
70,0,3,male,16.6,0,0,5.308,S
71,1,1,female,24.6,1,0,57.8448,S
72,0,3,male,27.8,0,0,7.727,S
73,0,3,male,28.1,0,0,12.5357,C
74,1,2,female,39.1,0,0,4.5839,Q
75,0,2,male,33.8,0,0,9.7775,S
76,1,1,male,25.2,1,0,98.5785,C
77,0,3,female,22.4,1,0,12.0595,S
78,1,1,female,34.0,0,0,136.4958,S
79,0,2,male,52.1,0,0,14.6354,S
80,0,3,male,33.6,1,0,16.5333,S
81,0,1,male,30.8,0,0,32.3918,C
82,1,2,male,2.7,1,1,22.2989,S
83,0,1,male,51.8,1,0,52.6286,S
84,0,3,male,26.2,0,0,8.3812,C
85,0,3,male,29.1,0,0,20.2881,S
86,0,3,male,21.7,0,0,9.8346,S
87,0,3,female,32.8,0,0,6.9506,S
88,1,2,female,44.2,0,1,24.3209,S
89,0,3,female,11.5,0,1,15.2427,S
90,0,3,male,18.9,0,0,12.4399,S
